is_ct,form_gap,pistol_rate_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,y,mtime,key,map,p_cal
0,-0.002710105263737106,0.2319508448540707,0.05994793410254906,0.10362998011693991,0.07017305000528323,0.028693853322233842,-0.019111796580925322,-0.03596529326765774,1,1778601708.0,hltv_2394159_107950_b8_vs_bc_game_m1_overpass,de_overpass,0.5576641079618282
1,-0.002710105263737106,0.2319508448540707,0.05994793410254906,0.10362998011693991,0.07017305000528323,0.028693853322233842,-0.019111796580925322,-0.03596529326765774,1,1778601708.0,hltv_2394159_107950_b8_vs_bc_game_m1_overpass,de_overpass,0.5394087778886751
0,0.06710461669205985,-7.846829880731043e-05,-0.21418451590018273,-0.3225626604845757,0.009876112363132017,-0.039063923501351294,0.0227441245477209,-0.026415992275880096,0,1778601914.0,hltv_2394160_107951_faze_vs_nrg_m1_ancient,de_ancient,0.6389984297330947
1,0.06710461669205985,-7.846829880731043e-05,-0.21418451590018273,-0.3225626604845757,0.009876112363132017,-0.039063923501351294,0.0227441245477209,-0.026415992275880096,0,1778601914.0,hltv_2394160_107951_faze_vs_nrg_m1_ancient,de_ancient,0.6194259918601289
1,-0.2419893850374436,0.31659505907626206,0.03828746443407999,0.009225893209145075,-0.08952877448396573,-0.1434631913556605,-0.033403776349898995,-0.05058802969743165,0,1778605746.0,hltv_2394159_107950_b8_vs_bc_game_m2_mirage,de_mirage,0.4979989818695231
0,-0.2419893850374436,0.31659505907626206,0.03828746443407999,0.009225893209145075,-0.08952877448396573,-0.1434631913556605,-0.033403776349898995,-0.05058802969743165,1,1778605746.0,hltv_2394159_107950_b8_vs_bc_game_m2_mirage,de_mirage,0.5134820978161956
1,0.06710461669205985,-0.06298396017699115,-0.015746659428862886,-0.02966122159706125,-0.13711259522173153,-0.20807845558444626,-0.0764465123460405,-0.08371108142403894,1,1778605870.0,hltv_2394160_107951_faze_vs_nrg_m2_nuke,de_nuke,0.6059557692069234
0,0.06710461669205985,-0.06298396017699115,-0.015746659428862886,-0.02966122159706125,-0.13711259522173153,-0.20807845558444626,-0.0764465123460405,-0.08371108142403894,0,1778605870.0,hltv_2394160_107951_faze_vs_nrg_m2_nuke,de_nuke,0.6209796635485474
0,0.14702485072743765,0.26442307692307687,0.05777001531706094,0.12488372132950298,0.003552668961758376,0.0678099419040753,-0.05241890647966152,-0.03336001920624404,1,1778611901.0,hltv_2394157_107957_betboom_vs_vitality_m1_anubis,de_anubis,0.5838224198532608
1,0.14702485072743765,0.26442307692307687,0.05777001531706094,0.12488372132950298,0.003552668961758376,0.0678099419040753,-0.05241890647966152,-0.03336001920624404,0,1778611901.0,hltv_2394157_107957_betboom_vs_vitality_m1_anubis,de_anubis,0.5742174105253699
0,0.11090950615855485,0.20931142410015652,-0.0011873601546181778,-0.0022125268493917716,-0.07447832916440866,-0.06690177663699176,-0.03957789203186052,-0.031674522958570595,1,1778615648.0,hltv_2394157_107957_betboom_vs_vitality_m2_overpass,de_overpass,0.5743687433557345
1,0.11090950615855485,0.20931142410015652,-0.0011873601546181778,-0.0022125268493917716,-0.07447832916440866,-0.06690177663699176,-0.03957789203186052,-0.031674522958570595,0,1778615648.0,hltv_2394157_107957_betboom_vs_vitality_m2_overpass,de_overpass,0.5669313725754507
0,-0.13695386920005015,-0.1601387188902489,0.33635954963968223,0.08906535538766214,0.11343937391317094,0.013913501609414236,-0.046031667539180476,0.0205468642023261,0,1778622336.0,hltv_2394161_107961_natus_vincere_vs_gamerlegion_m1_inferno,de_inferno,0.4743092623016892
1,-0.13695386920005015,-0.1601387188902489,0.33635954963968223,0.08906535538766214,0.11343937391317094,0.013913501609414236,-0.046031667539180476,0.0205468642023261,0,1778622336.0,hltv_2394161_107961_natus_vincere_vs_gamerlegion_m1_inferno,de_inferno,0.4667923734649076
0,-0.24182715387906328,0.034965034965035,-0.002263091294117281,-0.03253459422232996,-0.059571731532807426,-0.10983055799988939,-0.03588367144468013,-0.04291078836670331,0,1778636299.0,hltv_2394162_107963_astralis_vs_legacy_m2_nuke,de_nuke,0.49937033941504
1,-0.24182715387906328,0.034965034965035,-0.002263091294117281,-0.03253459422232996,-0.059571731532807426,-0.10983055799988939,-0.03588367144468013,-0.04291078836670331,0,1778636299.0,hltv_2394162_107963_astralis_vs_legacy_m2_nuke,de_nuke,0.488938618751506
0,0.2251070578186354,-0.007692307692307665,0.016577846012074682,-0.11919871920859765,-0.04848872570093621,-0.10696707916586867,-0.021352512369745058,-0.039311640465958864,0,1778658964.1682682,hltv_2394146_107970_gentle_mates_vs_magic_m2_inferno,de_inferno,0.5461329445280172
1,0.2251070578186354,-0.007692307692307665,0.016577846012074682,-0.11919871920859765,-0.04848872570093621,-0.10696707916586867,-0.021352512369745058,-0.039311640465958864,1,1778658964.1682682,hltv_2394146_107970_gentle_mates_vs_magic_m2_inferno,de_inferno,0.5349407037885545
