key,mtime,y,is_ct,pistol_rate_gap,pistol_rate_top,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,cpist_early_winrate,cpist_mid_winrate,cpist_early_alive_end,cpist_mid_alive_end,cpist_early_future_kill,cpist_mid_future_kill,form_gap
hltv_2389653_103979_furia_vs_natus_vincere_m2_inferno,1770063573.0,0,1,-0.27777777777777773,0.6388888888888888,0.002074994845144229,-0.002699289634617741,0.08754443996306194,0.05800347325646249,0.0521403893775208,0.03766960910548289,0.010285490402188624,-0.06570048378814958,-0.04065774810895467,-0.5551655724334865,-0.008668011210097692,-0.16013030620413243,0.4804423565163537
hltv_2389654_103977_fut_vs_astralis_m2_overpass,1770063667.0,1,0,0.0,0.5,-0.00214837279953195,-0.018567357670979057,-0.058870703152627435,-0.11862277338512905,-0.03329010725344128,-0.04946948689665659,-0.015715559278230873,0.11156121570439437,0.028194962927944822,0.18266367670113948,0.0005075575416660372,0.038631600904322716,-0.4402441895939015
hltv_2389654_103977_fut_vs_astralis_m2_overpass,1770063667.0,0,1,0.0,0.5,-0.00214837279953195,-0.018567357670979057,-0.058870703152627435,-0.11862277338512905,-0.03329010725344128,-0.04946948689665659,-0.015715559278230873,0.11156121570439437,0.028194962927944822,0.18266367670113948,0.0005075575416660372,0.038631600904322716,-0.4402441895939015
hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,1770126018.0,1,0,-0.1923076923076923,0.6923076923076923,-0.19269149111823086,-0.2696718848148084,-0.004788991570818246,-0.006943444358043505,0.05770242291983119,-0.029261137303977724,-0.12029741413623629,-0.33344279200678245,0.008408574587196904,-0.07148877799875275,0.020740724507335162,-0.16178064202393627,0.41632512203981104
hltv_2389656_103994_3dmax_vs_falcons_m1_anubis,1770126018.0,1,1,-0.1923076923076923,0.6923076923076923,-0.19269149111823086,-0.2696718848148084,-0.004788991570818246,-0.006943444358043505,0.05770242291983119,-0.029261137303977724,-0.12029741413623629,-0.33344279200678245,0.008408574587196904,-0.07148877799875275,0.020740724507335162,-0.16178064202393627,0.41632512203981104
hltv_2389656_103994_3dmax_vs_falcons_m2_dust2,1770129795.0,0,0,0.0892857142857143,0.5892857142857143,0.0038933890506805957,0.02520127127461841,0.0690407285038504,0.036600612713445,0.03194698159991455,0.020092731333090086,0.00431109702166832,0.005822236166169559,-0.029322498349043047,-0.14598962328368054,-0.032363844013366894,-0.0659541754004283,0.41632512203981104
hltv_2389656_103994_3dmax_vs_falcons_m2_dust2,1770129795.0,1,1,0.0892857142857143,0.5892857142857143,0.0038933890506805957,0.02520127127461841,0.0690407285038504,0.036600612713445,0.03194698159991455,0.020092731333090086,0.00431109702166832,0.005822236166169559,-0.029322498349043047,-0.14598962328368054,-0.032363844013366894,-0.0659541754004283,0.41632512203981104
hltv_2389655_103995_mouz_vs_faze_m2_inferno,1770130289.0,1,1,-0.1923076923076923,0.5,0.036198713743478494,0.16662773638649742,-0.07331506045486902,-0.05599427580445987,0.011615699893105291,-0.011143861584076153,-0.13791248477066909,-0.15602395978473133,-0.07426468260863678,-0.07384101040437357,0.04154351181527094,-0.06409554719885169,
hltv_2389655_103995_mouz_vs_faze_m2_inferno,1770130289.0,1,0,-0.1923076923076923,0.5,0.036198713743478494,0.16662773638649742,-0.07331506045486902,-0.05599427580445987,0.011615699893105291,-0.011143861584076153,-0.13791248477066909,-0.15602395978473133,-0.07426468260863678,-0.07384101040437357,0.04154351181527094,-0.06409554719885169,
hltv_2389657_104002_astralis_vs_furia_m1_overpass,1770135643.0,0,1,-0.10869565217391303,0.5,0.28484972672528375,0.22956968922910537,-0.0013488378231695242,-0.04842595846341108,-0.09091686164988771,-0.09583184665239047,0.3800040120477232,0.40875761876615335,0.046653071710712535,0.0523529639215663,-0.10250480268654366,-0.051972670684684974,0.09670523039189287
hltv_2389657_104002_astralis_vs_furia_m1_overpass,1770135643.0,1,0,-0.10869565217391303,0.5,0.28484972672528375,0.22956968922910537,-0.0013488378231695242,-0.04842595846341108,-0.09091686164988771,-0.09583184665239047,0.3800040120477232,0.40875761876615335,0.046653071710712535,0.0523529639215663,-0.10250480268654366,-0.051972670684684974,0.09670523039189287
hltv_2389659_104003_g2_vs_spirit_m1_anubis,1770135838.0,0,0,0.0,0.5,-0.3476888770154542,-0.17373673894813346,-0.16463127072722478,-0.11856543629454297,-0.017059798313148966,-0.06649513368673321,-0.30350591618922557,-0.13564965794748263,-0.0034890393544186327,-0.04487282836769807,0.03834619933011679,-0.002117041482191162,
hltv_2389659_104003_g2_vs_spirit_m1_anubis,1770135838.0,1,1,0.0,0.5,-0.3476888770154542,-0.17373673894813346,-0.16463127072722478,-0.11856543629454297,-0.017059798313148966,-0.06649513368673321,-0.30350591618922557,-0.13564965794748263,-0.0034890393544186327,-0.04487282836769807,0.03834619933011679,-0.002117041482191162,
hltv_2389657_104002_astralis_vs_furia_m2_mirage,1770139710.0,1,0,-0.0892857142857143,0.5,-0.01876756099520982,-0.002446960901350159,-0.05545801758954505,-0.07911388280801196,-0.040378662454828906,-0.05637913470375988,0.004051108552320382,-0.000983477026355789,-0.03031662900178206,-0.05129589045335248,-0.02559581536090083,-0.07925611824389767,-0.03205073431407572
hltv_2389657_104002_astralis_vs_furia_m2_mirage,1770139710.0,1,1,-0.0892857142857143,0.5,-0.01876756099520982,-0.002446960901350159,-0.05545801758954505,-0.07911388280801196,-0.040378662454828906,-0.05637913470375988,0.004051108552320382,-0.000983477026355789,-0.03031662900178206,-0.05129589045335248,-0.02559581536090083,-0.07925611824389767,-0.03205073431407572
hltv_2389659_104003_g2_vs_spirit_m2_overpass,1770139987.0,1,1,0.0,0.5,-0.003647217960146776,0.021531522940061054,-0.047329495035802915,0.014409132147392978,-0.02409375872126196,-0.009127802903900306,0.008067087974087395,0.08873808189655086,0.03814834755079205,0.18569707307902683,0.015390821416022715,0.040728373832143505,-0.41635091575341543
hltv_2389659_104003_g2_vs_spirit_m2_overpass,1770139987.0,0,0,0.0,0.5,-0.003647217960146776,0.021531522940061054,-0.047329495035802915,0.014409132147392978,-0.02409375872126196,-0.009127802903900306,0.008067087974087395,0.08873808189655086,0.03814834755079205,0.18569707307902683,0.015390821416022715,0.040728373832143505,-0.41635091575341543
