event_id,round_num,streak_team,fade_team,kill_count,event_start_ts,decision_ts,entry_quote_ts,reaction_mid_change,reaction_threshold,triggered,entry_ask,timing_basis,horizon_seconds,exit_quote_ts,exit_bid,gross_pnl,net_pnl
23,19,MOUZ,NRG,2,1789641404.993,1789641411.152,1789641414.9948242,0.0,0.03,False,0.69,source_update_version,15.0,1789641430.6174676,0.63,-0.05999999999999994,-0.08234999999999994
23,19,MOUZ,NRG,2,1789641404.993,1789641411.152,1789641414.9948242,0.0,0.03,False,0.69,source_update_version,30.0,1789641455.9952357,0.64,-0.04999999999999993,-0.07221499999999993
23,19,MOUZ,NRG,2,1789641404.993,1789641411.152,1789641414.9948242,0.0,0.03,False,0.69,source_update_version,60.0,1789641484.0928926,0.61,-0.07999999999999996,-0.10258999999999996
23,19,MOUZ,NRG,2,1789641404.993,1789641411.152,1789641414.9948242,0.0,0.03,False,0.69,source_update_version,120.0,1789641552.2893586,0.6,-0.08999999999999997,-0.11269499999999996
24,19,NRG,MOUZ,2,1789641416.199,1789641418.31,1789641420.990703,-0.025000000000000022,0.03,False,0.36,source_update_version,15.0,1789641436.1832576,0.33,-0.02999999999999997,-0.05257499999999997
24,19,NRG,MOUZ,2,1789641416.199,1789641418.31,1789641420.990703,-0.025000000000000022,0.03,False,0.36,source_update_version,30.0,1789641455.9952357,0.34,-0.019999999999999962,-0.042739999999999966
24,19,NRG,MOUZ,2,1789641416.199,1789641418.31,1789641420.990703,-0.025000000000000022,0.03,False,0.36,source_update_version,60.0,1789641484.0928926,0.37,0.010000000000000009,-0.013174999999999989
24,19,NRG,MOUZ,2,1789641416.199,1789641418.31,1789641420.990703,-0.025000000000000022,0.03,False,0.36,source_update_version,120.0,1789641552.2893586,0.37,0.010000000000000009,-0.013174999999999989
25,19,MOUZ,NRG,2,1789641419.023,1789641421.183,1789641428.9925957,0.03999999999999998,0.03,True,0.64,source_update_version,15.0,1789641455.9952357,0.64,0.0,-0.023039999999999998
25,19,MOUZ,NRG,2,1789641419.023,1789641421.183,1789641428.9925957,0.03999999999999998,0.03,True,0.64,source_update_version,30.0,1789641460.1855166,0.62,-0.020000000000000018,-0.04330000000000002
25,19,MOUZ,NRG,2,1789641419.023,1789641421.183,1789641428.9925957,0.03999999999999998,0.03,True,0.64,source_update_version,60.0,1789641493.3514867,0.61,-0.030000000000000027,-0.05341500000000003
25,19,MOUZ,NRG,2,1789641419.023,1789641421.183,1789641428.9925957,0.03999999999999998,0.03,True,0.64,source_update_version,120.0,1789641552.2893586,0.6,-0.040000000000000036,-0.06352000000000003
26,20,MOUZ,NRG,2,1789641536.289,1789641541.329,1789641552.2893586,-0.010000000000000009,0.03,False,0.63,source_update_version,15.0,1789641567.4814343,0.62,-0.010000000000000009,-0.033435000000000006
